endpoint,model,N,positive_N,AUROC,AUROC_CI95_low,AUROC_CI95_high,AUPRC,Brier_score,log_loss,calibration_slope,cross_validated_AUROC,AIC_approx,BIC_approx,status
condition_label_change,M0_null,4918,1901,0.5,0.5,0.5,0.3865,0.25,0.6931,0.0,0.5002,6821.7957,6834.797,fit
condition_label_change,M1_gene_only,4918,1901,0.6556,0.6392,0.669,0.561,0.22,0.6316,1.0285,0.6443,6216.7324,6229.7337,fit
condition_label_change,M2_baseline_regime_only,4918,1901,0.7024,0.6861,0.7157,0.624,0.2096,0.6105,1.0002,0.7,6012.6918,6038.6944,fit
condition_label_change,M3_baseline_ClinVar_metadata_only,4918,1901,0.612,0.5982,0.625,0.4917,0.2363,0.6659,0.9962,0.6086,6558.2193,6584.2219,fit
condition_label_change,M4_gene_plus_baseline_regime,4918,1901,0.7277,0.7123,0.7411,0.6751,0.2034,0.5908,1.0334,0.718,5820.7897,5853.2929,fit
condition_label_change,M5_baseline_regime_plus_metadata,4918,1901,0.7307,0.7153,0.7444,0.6468,0.2056,0.6042,0.9853,0.7252,5957.3942,6002.8988,fit
condition_label_change,M6_gene_plus_baseline_regime_plus_metadata,4918,1901,0.7422,0.7277,0.7552,0.6889,0.1985,0.5807,1.0271,0.7331,5727.9742,5779.9795,fit
cross_environment_drift,M0_null,4918,485,0.5,0.5,0.5,0.0986,0.25,0.6931,0.0,0.5,6821.7957,6834.797,fit
cross_environment_drift,M1_gene_only,4918,485,0.5743,0.5501,0.5958,0.1157,0.2446,0.6789,1.0442,0.5575,6681.5353,6694.5366,fit
cross_environment_drift,M2_baseline_regime_only,4918,485,0.7713,0.7555,0.7876,0.2177,0.1866,0.5364,0.9974,0.7706,5283.9764,5309.979,fit
cross_environment_drift,M3_baseline_ClinVar_metadata_only,4918,485,0.5339,0.5095,0.5571,0.105,0.2484,0.6892,0.9233,0.5265,6787.2375,6813.2402,fit
cross_environment_drift,M4_gene_plus_baseline_regime,4918,485,0.8339,0.818,0.8514,0.2996,0.1677,0.4998,1.013,0.8213,4925.9111,4958.4144,fit
cross_environment_drift,M5_baseline_regime_plus_metadata,4918,485,0.8255,0.8114,0.8426,0.31,0.1772,0.5161,1.0161,0.8181,5090.1,5135.6046,fit
cross_environment_drift,M6_gene_plus_baseline_regime_plus_metadata,4918,485,0.8447,0.8306,0.8617,0.3301,0.1631,0.4866,1.031,0.8276,4802.1016,4854.1069,fit
any_meaning_drift,M0_null,4918,1985,0.5,0.5,0.5,0.4036,0.25,0.6931,-0.0,0.4998,6821.7957,6834.797,fit
any_meaning_drift,M1_gene_only,4918,1985,0.6492,0.6322,0.6625,0.571,0.2223,0.6362,1.0268,0.6423,6261.392,6274.3933,fit
any_meaning_drift,M2_baseline_regime_only,4918,1985,0.6951,0.6791,0.7094,0.6296,0.2128,0.6164,1.0018,0.6867,6071.1105,6097.1131,fit
any_meaning_drift,M3_baseline_ClinVar_metadata_only,4918,1985,0.5993,0.5846,0.6112,0.5002,0.2385,0.6703,0.9922,0.5949,6601.092,6627.0947,fit
any_meaning_drift,M4_gene_plus_baseline_regime,4918,1985,0.7156,0.6987,0.7305,0.6726,0.2073,0.5994,1.0278,0.7096,5905.2144,5937.7177,fit
any_meaning_drift,M5_baseline_regime_plus_metadata,4918,1985,0.7229,0.7073,0.7371,0.6523,0.209,0.6108,0.9882,0.7181,6022.0958,6067.6004,fit
any_meaning_drift,M6_gene_plus_baseline_regime_plus_metadata,4918,1985,0.7341,0.7185,0.7494,0.689,0.2022,0.5893,1.0233,0.7272,5812.0548,5864.06,fit
within_environment_label_drift,M0_null,4918,1416,0.5,0.5,0.5,0.2879,0.25,0.6931,0.0,0.5003,6821.7957,6834.797,fit
within_environment_label_drift,M1_gene_only,4918,1416,0.6893,0.6711,0.7062,0.5013,0.2086,0.6116,1.021,0.6741,6019.6721,6032.6734,fit
within_environment_label_drift,M2_baseline_regime_only,4918,1416,0.8035,0.7896,0.8163,0.6386,0.1716,0.5291,0.9937,0.8004,5212.681,5238.6836,fit
within_environment_label_drift,M3_baseline_ClinVar_metadata_only,4918,1416,0.6445,0.6303,0.6589,0.4249,0.2278,0.6494,1.0009,0.6407,6395.2081,6421.2107,fit
within_environment_label_drift,M4_gene_plus_baseline_regime,4918,1416,0.8134,0.7991,0.8252,0.6887,0.168,0.5107,1.039,0.8074,5032.8829,5065.3862,fit
within_environment_label_drift,M5_baseline_regime_plus_metadata,4918,1416,0.8046,0.7905,0.8167,0.6465,0.1713,0.5287,0.9924,0.8016,5214.6906,5260.1952,fit
within_environment_label_drift,M6_gene_plus_baseline_regime_plus_metadata,4918,1416,0.8155,0.8012,0.8281,0.6945,0.1664,0.5072,1.0373,0.8075,5005.2182,5057.2234,fit
self_loop_stable,M0_null,4918,4433,0.5,0.5,0.5,0.9014,0.25,0.6931,0.0,0.5,6821.7957,6834.797,fit
self_loop_stable,M1_gene_only,4918,4433,0.5743,0.5501,0.5958,0.9234,0.2446,0.6789,1.0442,0.5575,6681.5352,6694.5365,fit
self_loop_stable,M2_baseline_regime_only,4918,4433,0.7713,0.7555,0.7876,0.9663,0.1866,0.5364,0.9974,0.7706,5283.9764,5309.979,fit
self_loop_stable,M3_baseline_ClinVar_metadata_only,4918,4433,0.5339,0.5095,0.5571,0.9118,0.2484,0.6892,0.9233,0.5265,6787.2375,6813.2402,fit
self_loop_stable,M4_gene_plus_baseline_regime,4918,4433,0.8339,0.818,0.8514,0.9747,0.1677,0.4998,1.013,0.8213,4925.911,4958.4143,fit
self_loop_stable,M5_baseline_regime_plus_metadata,4918,4433,0.8255,0.8114,0.8426,0.9731,0.1772,0.5161,1.0161,0.8181,5090.1,5135.6046,fit
self_loop_stable,M6_gene_plus_baseline_regime_plus_metadata,4918,4433,0.8447,0.8306,0.8617,0.9767,0.1631,0.4866,1.031,0.8276,4802.1012,4854.1064,fit
